# Undirected graph: reduceddataset.txt
# Reduced Amazon Graph
# Nodes: 90000 Edges: 221086
# FromNodeId	ToNodeId
1	88160
1	118052
1	161555
1	244916
1	346495
1	444232
1	447165
1	500600
2	62291
2	170507
2	299250
2	331042
2	411179
2	451149
2	454888
524289	5908
524289	9153
524289	62668
524289	319515
524289	355274
262149	104137
262149	194810
262149	237508
262149	241903
262149	245684
262149	300015
262149	490680
262149	530045
4	16050
4	310803
4	320519
4	408108
524295	41729
524295	48447
524295	147407
524295	365949
524295	455502
524295	533572
524296	37204
524296	81847
524296	82036
524296	91949
524296	137877
524296	156226
524296	194308
524296	223228
524296	315128
524296	349038
524296	415849
8	10758
8	55461
8	242156
8	453513
524298	105389
524298	161337
524298	469532
262153	244004
262153	275016
262153	327921
262153	335281
262157	343
262157	425568
524303	245819
524303	268868
524303	325794
524303	363999
524303	450935
524304	39351
524304	183118
524304	198612
524304	209835
524304	281220
524304	342309
524304	379670
262161	95233
262161	375662
262161	425793
262161	518317
262162	62213
262162	212442
262162	218182
262162	237501
262162	290580
262162	451213
262162	485139
262162	497841
262159	16353
262159	300603
262159	367604
262159	410270
262159	483749
262159	528538
20	25337
20	186932
20	412652
20	450610
21	17723
21	50332
21	62691
21	96553
21	114681
21	166829
21	505568
21	536600
21	538669
21	545557
21	547758
262163	34095
262163	277807
262163	279560
15	67084
15	85444
15	422732
15	428290
262167	23302
262167	127653
262167	159007
262167	209892
262167	286792
262169	2920
262169	282371
262169	312302
262169	349408
26	95368
26	309111
26	393249
26	439826
26	486444
524315	442067
524315	469179
29	254470
29	260536
29	321434
29	425568
524319	482727
262182	43742
262182	237476
262182	257894
262182	334791
262182	438912
262182	484377
39	150250
39	301347
39	412517
39	438351
39	517966
524328	38919
524328	61509
524328	99199
524328	127977
524328	271893
524328	463390
524329	71357
524329	244250
524329	290304
524329	322850
524329	418308
524329	523236
42	202132
42	386937
43	6893
43	12433
43	30022
43	126893
43	375902
524331	91765
524331	226898
524331	242071
524331	463803
524331	524962
45	28318
45	179783
45	296035
45	490336
262187	55337
262187	126971
262187	267835
262187	289708
262183	82810
262183	174410
262183	274550
524335	62291
524335	170507
524335	299250
524335	331042
524335	454888
51	178863
51	360901
51	511008
51	521089
262201	88417
262201	88424
262201	107514
262201	174156
262201	254702
262201	326972
59	194736
59	262789
59	277265
59	531181
60	120137
60	127781
60	252349
60	466296
524349	272629
524349	510551
64	269856
64	355213
64	484789
262211	54729
262211	453989
68	232063
68	275750
68	321438
68	375036
69	247778
69	277220
69	456407
69	537914
262214	62084
262214	146951
262214	292521
262214	334341
262214	383239
262214	424911
262214	426734
262214	474632
262214	525854
524361	88627
524361	174321
524361	193535
524361	271563
524361	297316
524361	307789
524361	315954
524361	360733
524361	516881
73	261014
73	282562
73	393723
73	483855
75	335778
524363	173884
524363	198915
524366	4979
524366	88477
524366	104848
524366	254111
524366	335327
524366	431194
524366	440342
524366	522131
79	112757
79	326332
79	410781
524367	101505
524367	125845
524367	193373
524367	240376
524367	339381
524367	492062
78	279748
78	491183
78	515724
78	540130
82	156331
82	333487
82	354385
82	433407
82	482506
84	172852
84	239294
84	342090
84	403527
84	403529
524375	19340
524375	298528
524375	306430
524375	336452
262235	108243
262235	195425
262235	267965
262235	273095
262235	274523
262235	338743
262235	421238
92	40437
92	64070
92	350476
92	470964
92	479613
94	18099
94	35727
94	56860
94	172306
94	274208
94	519463
99	217307
99	242681
99	391072
262244	52906
262244	228265
262244	434642
262244	483568
262247	25672
262247	162908
262247	237544
262247	242505
262247	376205
262247	516747
524392	13527
524392	89892
524392	118970
524392	146372
524392	286648
524392	418186
524392	428555
105	178295
105	278985
105	490079
105	520172
262250	37168
262250	56622
262250	63179
262250	146964
262250	210704
262250	391878
524396	130429
524396	185300
524396	270602
524396	312380
524396	408244
524396	486327
524396	488642
524398	137888
524398	173056
524398	220455
524398	520928
262254	150326
262254	292755
262254	330964
262254	421560
262254	538700
262259	38489
262259	90006
262259	527520
524404	49732
524404	202840
524404	338131
524404	503953
262263	195604
262263	253985
262263	329777
262263	494356
120	3458
120	6713
120	57583
120	155733
120	223694
120	231855
120	233426
120	241189
120	275523
120	352488
120	374026
120	396771
120	440278
524409	225710
524409	390753
524410	65026
524410	262103
524410	311277
524410	524413
524412	313728
524412	332780
524412	361946
524412	414709
524412	475177
524412	541004
524413	65026
524413	262103
524413	311277
524414	11819
524414	29291
524414	35967
524414	54686
524414	110026
524414	121542
524414	145569
524414	170897
524414	209608
524414	382319
524414	408484
524414	433580
127	183055
127	259165
127	363032
129	321461
129	466063
130	118258
130	138401
130	527813
262274	57830
262274	110128
262274	272718
262274	474885
524424	60285
524424	272691
524424	289385
524424	366554
262286	80429
262286	364200
262286	387987
262286	404725
262286	489673
524431	132233
524431	269773
524431	427847
524431	456007
524431	470610
262290	91847
262290	180062
262290	312419
262290	335905
262290	496081
147	253571
147	401824
524436	3633
524436	66735
524436	201447
524436	230903
524436	533242
524436	535347
153	41491
153	166009
153	542975
153	545358
153	547082
524442	63994
524442	429475
262301	344
262301	48889
262301	67773
262303	319511
524448	3442
524448	40129
524448	75579
524448	85699
524448	93791
524448	135007
524448	232923
524448	253297
524448	307834
524448	337697
524448	378696
524448	434088
524448	492519
524447	86082
524447	290388
524447	415289
524447	420975
262306	52278
262306	201261
262306	315954
262306	360733
262306	364206
262306	402859
262306	435775
262306	455907
262306	498339
262307	198167
262307	320212
262307	514793
162	40061
162	131153
162	362376
167	2928
167	397035
167	487177
262312	29235
262312	170679
262312	364123
262312	455089
524461	41814
524461	328800
524461	377738
524461	443220
176	132531
176	132725
176	201855
176	347858
262322	21448
262322	101530
262322	196074
187	99838
187	233210
187	252981
187	289571
524481	8583
524481	244923
262338	47391
262338	134901
262338	171139
262338	196122
262338	332050
262338	332055
262338	332057
262338	332068
262338	366331
262338	384000
262338	384002
262338	384005
262338	384006
524483	202153
524483	209281
524483	358256
524483	362559
524483	403826
524483	427751
524483	535026
524482	18469
524482	41222
524482	492232
262341	359310
262341	365075
262341	380380
262341	381663
262341	466897
262341	523954
262342	26165
262342	90913
199	27673
199	148489
199	165308
199	180211
199	329644
199	381182
199	416311
199	504701
199	522987
196	18441
196	45123
196	204725
196	228496
196	289292
193	180577
193	210618
193	339791
193	530038
524490	64805
524490	122279
524490	286659
524491	53166
524491	90776
524491	116234
524491	236391
262349	34036
262349	51677
524494	12249
524494	27904
524494	41349
524494	95256
524494	107647
524494	168172
524494	181180
524494	263388
524494	286735
524494	337270
524494	345745
524494	345840
524494	403632
524494	453095
524494	497199
524494	514119
262351	2788
262351	3458
262351	10940
262351	20466
262351	23715
262351	29042
262351	29202
262351	32900
262351	41111
262351	64188
262351	78206
262351	91519
262351	109312
262351	114890
262351	151287
262351	153060
262351	169803
262351	203881
262351	232262
262351	255870
262351	264881
262351	265861
262351	281325
262351	346600
262351	354499
262351	407588
262351	428618
262351	455547
262351	468224
262351	475254
262351	480162
262351	482113
262351	525295
262351	529120
262351	536169
262351	536357
212	2049
212	18921
212	100068
212	261870
212	423586
524501	39351
524501	61574
524501	154337
524501	342309
262357	134252
262357	281681
262357	309356
262357	375795
262357	445225
262357	474082
262362	7506
262362	109906
262362	131235
262362	146112
262362	181880
262362	240297
262362	266416
262362	286755
262362	312466
262362	361097
262362	375518
262362	439392
262362	494908
262362	502960
262362	532007
524513	78632
524513	159544
524513	167027
524513	491316
524514	55162
524514	61845
524514	68052
524514	150501
524514	349246
524514	465789
225	125250
225	218131
225	415407
225	510009
524516	194384
524516	224024
230	63824
230	110070
230	320845
230	474442
230	531154
524519	64474
524519	203582
524519	213260
524519	378702
524519	391763
524519	447431
524519	500330
524519	517006
262377	72623
262377	130861
262377	425178
262377	522309
262377	524171
262381	172778
262381	190686
262381	217037
262381	270329
262381	441374
239	358255
262385	87971
262385	365172
524532	505634
524532	515142
262393	76908
262393	146773
262393	276506
262393	472720
262393	546016
262393	546255
262393	546322
262393	547250
262393	548190
250	114249
250	209461
250	302978
250	328775
250	344630
250	412302
249	90010
249	405502
249	408687
249	458090
524540	16621
524540	175340
524540	209639
524540	217457
524540	285913
524540	313895
524540	336666
524540	373488
524540	376080
524540	438469
524540	444913
524540	494044
252	19119
252	84301
252	141482
252	153166
252	312147
252	352789
252	397159
252	413713
252	488936
252	524691
251	133857
251	231534
251	232421
251	463539
251	545796
262394	38665
262394	265649
262394	385970
262394	433729
262401	155921
262401	397966
262401	407362
262401	485363
262401	502840
257	54999
257	70845
257	95480
257	208459
257	494839
524547	244901
524547	467346
524547	509275
524546	7055
524546	520843
524546	538913
524549	363283
524549	363896
265	145733
265	182045
265	202368
265	205069
265	312767
265	345355
265	441138
265	460219
265	489725
268	34730
268	45198
268	59308
268	84587
268	133352
268	282378
268	389632
268	494032
272	36149
272	188235
272	396638
272	429862
272	514806
272	540233
274	80687
274	268396
274	464269
274	509613
275	8261
275	50518
275	68836
275	78788
275	80241
275	165989
275	229044
275	243640
275	253757
275	281620
275	350243
275	363293
275	369052
275	393194
275	423938
275	441163
275	484080
275	501108
262420	31454
262420	85296
262420	317282
262420	334083
262420	347422
524563	134908
524563	468407
262422	109823
262422	109833
262422	546679
262422	547236
279	143969
279	291519
279	385628
279	392494
262427	65431
262427	149908
262427	243826
262427	309933
262427	367332
524576	29947
524576	104483
524576	118266
524576	129195
524576	138369
524576	168065
524576	227983
524577	36772
524577	59866
524577	182974
524577	466032
524577	515036
296	376858
296	424705
296	441565
296	532042
524586	4912
524586	30085
524586	79162
524586	408523
524589	20594
524589	44918
524589	57662
524589	437561
524589	468143
302	28823
302	141020
302	158481
302	269960
302	464164
302	528109
524592	25025
524592	69031
524592	380027
524592	385955
524592	489438
304	291896
304	334218
304	385318
304	409975
304	417668
262450	136177
262450	136179
262450	354092
262450	363420
262450	499411
262450	523408
524597	232614
524597	251248
524597	267090
524597	291489
524597	520705
524598	43501
524598	153854
524598	170458
524598	170872
524598	249116
524600	3921
524600	20162
524600	35532
524600	122417
524600	193247
524600	273587
524600	299860
524600	379404
524600	476328
262461	33656
262461	47677
262461	89600
262461	99648
262461	150302
262461	168944
262461	276125
262461	296312
262461	313715
262461	315477
262461	392724
262461	446890
262463	9975
262463	11867
262463	68409
262463	236132
262463	336915
322	94601
322	172911
322	328359
322	330738
322	354163
322	484406
524614	17202
524614	183521
524614	347139
524614	534420
262472	59854
262472	116200
262472	120341
262472	348913
262472	423054
262472	462356
262473	189466
262473	237792
262473	300622
262473	400732
262473	459434
262473	464166
524619	3168
524619	46835
524619	78995
524619	127894
524619	260437
524619	364716
524619	378734
334	52091
334	77361
334	183083
334	183666
334	252457
334	312047
334	355083
334	379069
334	414129
335	39139
335	72456
335	104328
335	180885
335	183524
335	197083
335	229909
335	293721
335	321873
335	346358
335	408820
335	420867
338	170571
338	406972
338	432247
524627	26962
524627	62647
524627	69392
524627	245940
524627	387008
524627	487835
262484	192773
262484	260955
262484	547998
524629	9154
524629	187567
524629	224197
524629	356672
262483	117268
262483	127512
262483	168132
262483	205822
262483	546034
343	321434
344	28082
344	66122
344	67478
344	86800
344	101292
344	119526
344	161808
344	204976
344	208639
344	257345
344	258093
344	272667
344	279750
344	318015
344	359013
344	377604
344	379303
344	385262
344	400431
344	447276
344	462073
344	462096
344	465499
344	474801
344	514533
345	267295
345	348110
345	390296
345	461249
345	476508
524632	48305
524632	116994
524632	163846
524632	181996
524632	341038
347	72168
347	189548
347	247110
347	347049
347	490421
524637	18865
524643	90277
524643	96240
524643	188958
524643	388383
524643	402898
524643	469187
262501	40760
262501	49400
262501	113929
262501	285833
358	47632
358	97988
358	267454
358	445342
262503	19545
262503	56804
262503	87775
262503	188453
262503	260194
262503	296599
262503	381870
262503	386657
362	132290
362	232207
362	315456
362	433487
362	471549
362	471551
362	471552
363	366
363	2249
363	179872
363	339819
363	420407
366	2249
366	179871
366	179872
366	339819
366	388255
366	420407
366	542387
262510	66168
262510	214538
262510	228721
262510	460708
369	272478
369	296398
369	498503
262513	58088
262513	112089
262513	195101
262513	206941
262513	217095
262513	433594
262515	73392
262515	284353
262515	308599
262515	312386
262515	534439
262515	538617
262517	142728
262517	163266
262517	186087
262517	249863
262517	290119
376	165173
376	184638
376	300230
376	329614
376	526841
524665	38006
524665	62586
524665	111985
524665	153965
524665	275408
524665	419797
524671	174593
262528	13794
262528	13799
262528	165680
262528	190772
262528	262530
262528	461482
262529	13794
262529	13799
262529	58469
262529	165680
262529	262530
262529	452619
262530	13799
262530	165680
262530	262535
262530	461482
262531	6701
262531	30766
262531	233830
262531	434570
262531	479458
385	29466
385	416769
385	470610
262533	68409
262533	109245
262533	391705
262533	448376
262533	521666
262533	522711
262533	527657
262535	13794
262535	58469
262535	165680
262535	452619
392	308438
392	310672
393	33068
393	37024
393	65858
393	85179
393	110167
393	235469
393	323071
393	345489
393	517644
524683	246640
524683	266435
524683	279304
524683	282270
524683	366905
396	216151
396	226877
396	243410
396	377805
396	465509
396	514683
396	523484
524685	198080
524685	228159
524685	265016
524685	488136
524685	538649
524687	143829
524687	154098
524687	261201
524687	262655
524687	341984
524689	48930
524689	78399
524690	26479
524690	53931
524690	78878
524690	88073
524690	92646
524690	133393
524690	222429
524690	223833
524690	325477
524690	386780
524690	448529
524690	514388
524690	532205
524690	533856
524691	252619
524691	328908
403	201022
403	201023
403	361614
262550	54598
262550	112833
262550	125322
262550	154894
262550	196334
262550	285705
408	17854
408	69519
408	123718
408	173328
408	198409
408	341668
408	453261
408	527065
408	527744
409	540068
411	172609
411	536250
411	536254
413	8635
413	153359
413	169809
413	220193
413	445663
413	480022
262558	8666
262558	59503
262558	138958
262558	275529
262558	314784
262558	427786
262558	474332
414	265606
524708	20058
524708	43975
524708	213505
524708	344877
524708	383355
524708	418864
524711	2806
524711	17308
524711	46430
524711	92932
524711	119426
524711	197912
524711	327697
524711	380381
524711	530351
262567	193584
262567	262930
262567	343005
262567	344073
262567	448350
262568	246844
262568	252381
262568	420374
426	60296
426	273452
426	290644
426	339027
426	363243
426	387009
426	468631
426	504224
423	148152
423	349662
423	397672
524717	178627
524717	185141
524717	198955
524717	212858
524717	241274
524717	283174
524717	382750
524717	458458
524720	102835
524720	146289
524720	178295
524720	285236
524720	446353
262577	25846
262577	229110
262577	250610
524722	104899
524722	151836
524722	309790
435	140443
435	247123
435	411789
435	473040
435	530558
524723	287549
524723	398261
524723	430936
524723	540662
262583	18796
262583	22323
262583	39502
262583	80963
262583	102534
262583	126341
262583	127436
262583	268811
262583	288409
262583	321973
262583	390020
262583	394064
262583	414394
262583	416294
262583	530034
262584	177173
262584	388429
262584	482263
262584	517261
262584	528621
262585	23041
262585	56090
262585	77608
262585	190639
442	80452
442	132282
442	331697
442	410311
442	444980
442	524878
524735	19990
524735	107872
524735	384963
524735	408768
524735	424986
524735	503332
448	28123
448	75848
448	104366
448	158327
448	396362
448	471848
448	475036
448	504629
450	32132
450	73811
450	282321
524739	9511
524739	114133
524739	138105
524739	148997
524739	158810
524739	230631
262594	196983
262594	217712
262594	236799
262594	403049
262594	527466
453	37851
453	377970
453	408878
457	14016
457	119794
457	272694
457	303563
262602	157005
262602	242581
262602	317623
262602	410735
262602	511281
262602	522905
524746	56817
524746	294914
524746	333910
458	113055
458	316123
458	493359
262603	21268
262603	280126
262603	314748
262603	526319
262606	229832
262606	288792
262606	302196
262606	503672
262606	519808
262608	45353
262608	212875
262608	270197
262608	317716
262608	374482
262608	374739
262608	489409
262611	34883
262611	175887
262611	285265
262611	285625
262611	344252
262611	447303
262611	499152
524756	7693
524756	83202
524756	111541
524756	220135
524756	355900
467	154855
467	239345
467	288047
467	500594
470	163987
470	214288
470	270744
470	270747
470	284219
471	291764
471	381047
471	429058
471	468322
524760	106532
524760	121869
524760	460313
524760	475344
262617	8833
262617	318511
262617	516977
262617	517595
475	129423
475	325411
475	378044
524767	465614
480	99547
480	111700
480	219235
480	224180
480	253796
480	271719
480	291376
480	379560
480	412371
480	438745
480	484136
480	489666
262624	111106
262624	253099
262624	260288
262624	381813
483	269877
483	415228
483	437887
486	44392
486	274850
486	285420
486	320882
486	394855
486	426172
524775	85569
524775	198730
524775	432162
524775	463537
524775	527718
262636	10591
262636	34582
262636	88492
262636	160631
262636	297132
262636	319147
262636	489622
262636	497770
262636	511302
524780	79483
524780	194810
524780	492993
524780	519439
524780	530045
494	51907
494	319831
494	419356
494	475770
494	476780
495	56539
495	57686
495	99409
495	111733
495	204345
495	277146
495	345615
495	483121
495	539419
524783	28239
524783	404251
524783	492738
524783	493334
524783	496561
496	425568
524786	83330
524786	172950
524786	233527
524786	256741
524786	542935
505	88900
505	204672
262653	646
262653	107540
262653	113543
262653	189737
262653	344430
262653	344903
262653	355667
262653	358935
262653	374506
262653	494832
262653	518567
262655	212271
262655	261201
262655	476350
262655	515454
514	134983
514	349602
514	372205
514	475216
524803	12901
524803	186329
524803	323471
524803	518424
524803	539586
262659	37365
262659	84467
262659	143903
262659	433673
262659	530316
524805	10505
524805	11765
524805	11780
524805	53368
524805	56720
524805	126710
524805	215180
524805	228040
524805	293172
524805	317627
524805	340334
524805	524806
524805	524813
524805	527464
524806	10505
524806	56720
524806	126710
524806	179480
524806	264610
524806	268721
524806	380905
524806	427078
524806	470938
524806	472020
524806	527464
517	209579
517	276157
517	299991
517	365919
517	391531
262661	3378
262661	169294
262661	354711
262661	539835
521	127332
521	169697
521	173687
521	174097
521	235362
521	281396
521	289195
521	356349
521	404185
522	88646
522	103784
522	255989
522	349604
522	372205
522	499230
522	508614
522	544708
262665	42080
262665	46728
262665	165125
262665	205662
262665	359726
524	140784
524	205489
524	420454
524	443931
524813	56720
524813	89724
524813	121883
524813	177971
524813	228040
524813	332767
524813	501485
262662	367215
262662	409980
262671	118792
262671	257513
262671	456390
262672	145140
262672	246333
262672	276706
262672	295162
262672	467508
524817	98267
524817	158883
524817	228511
524817	263672
524817	355682
524817	366346
524817	374086
524817	447161
524817	500695
524817	515897
262673	11857
262673	133447
262673	177956
262673	343592
262673	364772
262673	470120
262673	482218
262673	539688
524814	483759
524821	26950
524821	53522
524821	118665
524821	258931
524821	270490
524821	381650
524821	447308
524821	523504
524821	531334
524825	54827
524825	55364
524825	79698
524825	80311
524825	249233
524825	291509
524826	107775
524826	159258
524826	186694
540	72459
540	94676
540	300223
540	342241
540	370312
540	506956
262686	190064
543	75997
543	111918
543	150102
543	309931
543	354854
543	423425
543	514778
524832	41830
524832	96092
524832	123648
524832	189847
524834	55010
524834	184394
524834	401747
524834	489122
524835	110845
524835	138082
524835	282030
524835	327230
524835	449271
524835	522052
524836	136623
524836	298959
524836	442013
548	70286
548	235466
548	404531
548	448945
548	461622
262694	34750
262694	35282
262694	60854
262694	69098
262694	110129
262694	146170
262694	241029
262694	269551
262694	349515
262694	402833
262694	453141
262694	473212
524839	42240
524839	116870
524839	163235
524839	309962
524839	475540
524837	44500
524837	338282
262697	43992
262697	106019
262697	540584
524843	23490
524843	114651
524843	203826
524843	365198
524843	503396
524843	503406
524843	517525
524843	517527
557	16058
557	146998
557	325692
557	490039
524849	96623
524849	268156
524849	321071
262706	159974
262706	207039
262706	256837
262706	310704
262706	322616
262706	328507
262706	530261
524851	74802
524851	187886
524851	257158
524851	360964
524851	372963
524851	487123
524851	488892
524851	521601
524851	529311
566	77043
566	105753
566	132641
566	438424
566	477635
567	278445
567	371034
524855	47808
524855	87850
524855	125597
524855	301850
569	34239
569	106759
569	259629
569	419679
262716	320511
262716	393952
262716	433299
524861	164184
524861	373516
524861	537498
524861	542484
577	98756
577	111727
577	196284
577	227873
577	288563
577	298019
577	477878
577	517948
524866	276604
524866	309672
524866	322472
524866	336982
524866	528695
578	392792
578	477780
578	509837
586	151379
586	418852
524878	129702
524878	144187
524878	163037
524878	217442
524878	331697
524878	410311
524878	444980
524878	536660
590	6152
590	115154
590	129591
590	353551
590	375315
590	531741
262736	43763
262736	183095
262736	258991
524881	90581
524881	198632
524881	290314
524881	543378
262735	436794
262734	6337
262734	64155
262734	207980
262734	216211
599	24701
599	164710
