# Undirected graph: reduceddataset14k.txt
# Reduced Amazon Graph
# Nodes: 14000 Edges: 21255
# FromNodeId	ToNodeId
294914	56817
294914	106268
294914	149692
294914	509423
229379	80881
229379	104442
229379	188866
229379	372644
229379	457154
262149	194810
262149	530045
163846	36918
163846	116994
163846	181996
163846	227201
163846	341038
524296	82036
524296	91949
524296	156226
524296	223228
163850	33187
163850	100749
163850	137215
163850	259819
163850	545473
163850	545810
163850	546235
393228	7553
393228	158810
393228	212007
393228	426372
393228	491774
524303	325794
262162	218182
262162	237501
426004	64376
426004	525571
426004	538094
229397	193398
229397	236091
229397	382535
21	17723
21	96553
21	114681
21	538669
21	545557
21	547758
491543	287708
491543	339736
491543	498802
131095	543631
131095	545061
131095	545063
32795	533962
229404	76361
229404	265712
229404	545525
229404	546238
131100	292568
327709	1415
327709	344623
327709	458028
393248	44375
393248	78964
393248	253874
393248	464304
98337	369095
98337	425239
98337	529887
393249	84372
393249	95368
393249	145968
393249	334888
393249	373610
327722	2343
196650	200785
196650	264491
131119	334770
131119	356518
131119	360733
131129	168955
360506	147895
360506	180888
360506	502086
360506	502784
196671	146393
196671	266558
196671	329957
196671	522975
491585	311265
491585	317402
491585	414898
491587	66113
98373	219578
327750	92259
327750	390394
327750	512975
262214	474632
524361	193535
524361	360733
524361	516881
491594	29834
491594	386793
491594	420173
491594	434088
491594	539901
426058	18088
426058	43235
426058	62146
426058	348680
32845	527415
229458	339736
229458	406616
327765	351183
393302	105240
393302	344623
393302	370609
393302	371985
360533	62557
360533	483559
360543	351282
360543	385198
360543	449575
393313	44870
393313	134981
393313	168453
393313	212458
393313	277079
393313	538709
458850	80655
458850	343476
229486	103658
229486	151432
229486	176593
229486	233585
229486	303738
360560	404018
229489	4439
229489	132073
229489	135842
229489	180123
229489	207998
360562	391207
229488	232600
327794	40278
491637	250683
491637	271868
426101	22303
426101	189732
426101	213859
120	3458
120	57583
120	231855
120	241189
120	275523
120	352488
327802	40755
327802	193429
327802	480917
196733	202047
524414	110026
524414	121542
393343	314794
393343	482470
458882	4951
458882	70375
458882	99661
163970	246806
163970	298460
360592	150156
360592	184729
360592	250701
360592	434690
32924	355590
32924	485912
163996	113672
163996	230495
196767	514111
524448	93791
524448	434088
32930	44475
32930	164733
